square,x_m,y_m,grasp_z_m,radius_m,radial_gate,vertical_grasp_ik,position_error_mm,axis_error_degrees,minimum_joint_margin_degrees,board_contacts,iterations,shoulder_pan_degrees,shoulder_lift_degrees,elbow_flex_degrees,wrist_flex_degrees,wrist_roll_degrees
a1,0.0965,0.0805,0.0006,0.125668,True,True,2.0651,0.0147,30.8536,,14,-52.98585,-39.54684,65.97627,63.58524,-2.1624
b1,0.0965,0.0575,0.0006,0.112332,True,True,2.6912,0.3833,25.1114,,15,-43.51405,-49.61018,71.7185,68.27494,0.25376
c1,0.0965,0.0345,0.0006,0.102482,True,True,2.961,0.3654,19.577,,19,-30.14728,-61.65394,77.2529,74.76647,2.16044
d1,0.0965,0.0115,0.0006,0.097183,True,True,2.8165,0.3514,13.9858,,23,-10.81821,-70.61197,79.94925,81.01416,4.30389
e1,0.0965,-0.0115,0.0006,0.097183,True,True,2.8147,0.3511,14.0006,,23,11.48988,-70.59196,79.94374,80.99935,6.40037
f1,0.0965,-0.0345,0.0006,0.102482,True,True,2.9557,0.3643,19.5955,,19,30.76453,-61.60314,77.23437,74.73311,8.09616
g1,0.0965,-0.0575,0.0006,0.112332,True,True,2.7008,0.3806,25.143,,15,44.04554,-49.54475,71.6869,68.23845,9.44534
h1,0.0965,-0.0805,0.0006,0.125668,True,True,2.0899,0.0119,30.9074,,14,53.45347,-39.45037,65.92247,63.53981,11.44638
a2,0.1195,0.0805,0.0006,0.144085,True,True,2.2423,0.209,34.6796,,14,-44.26874,-31.0221,60.49266,60.32039,-1.48387
b2,0.1195,0.0575,0.0006,0.132614,True,True,1.5,0.0348,30.9779,,14,-34.67422,-39.25617,65.85193,63.43905,0.65406
c2,0.1195,0.0345,0.0006,0.12438,True,True,2.772,0.3157,27.7334,,14,-22.26558,-45.57673,69.09642,66.79605,2.27079
d2,0.1195,0.0115,0.0006,0.120052,True,True,2.4804,0.3894,25.1821,,15,-7.65172,-49.43106,71.64776,68.17266,3.92151
e2,0.1195,-0.0115,0.0006,0.120052,True,True,2.4818,0.3889,25.1878,,15,8.19818,-49.41932,71.64206,68.16615,5.55472
f2,0.1195,-0.0345,0.0006,0.12438,True,True,2.7809,0.3154,27.7506,,14,22.78078,-45.54309,69.07931,66.77922,6.99967
